timestamp, realtime, Left, Right
1953870, 0, 4.50087, 3.991089
1953878, 8, 4.509918, 4.007858
1953887, 17, 4.442596, 4.191788
1953895, 25, 4.592484, 4.097153
1953903, 33, 4.410889, 4.059647
1953912, 42, 4.503357, 4.042023
1953920, 50, 4.50705, 4.127106
1953928, 58, 4.437103, 4.108276
1953937, 67, 4.509674, 4.226212
1953945, 75, 4.562408, 4.199402
1953953, 83, 4.506683, 4.197571
1953962, 92, 4.456497, 4.194977
1953970, 100, 4.417999, 4.182312
1953978, 108, 4.63092, 4.192673
1953987, 117, 4.404037, 4.16864
1953995, 125, 4.529373, 4.209259
1954003, 133, 4.655533, 4.244919
1954012, 142, 4.627151, 4.274689
1954020, 150, 4.6539, 4.256668
1954028, 158, 4.672516, 4.219299
1954037, 167, 4.621216, 4.324951
1954045, 175, 4.650558, 4.317261
1954053, 183, 4.620346, 4.297653
1954062, 192, 4.719406, 4.32576
1954070, 200, 4.777588, 4.28215
1954078, 208, 4.735596, 4.32283
1954087, 217, 4.778687, 4.301086
1954095, 225, 4.752884, 4.263031
1954103, 233, 4.767578, 4.257797
1954112, 242, 4.716797, 4.204163
1954120, 250, 4.764359, 4.256653
1954128, 258, 4.643021, 4.255951
1954137, 267, 4.649597, 4.255951
1954145, 275, 4.649536, 4.216171
1954153, 283, 4.625183, 4.241776
1954162, 292, 4.606705, 4.273499
1954170, 300, 4.642456, 4.279556
1954178, 308, 4.629028, 4.282501
1954187, 317, 4.557297, 4.275635
1954195, 325, 4.558853, 4.278061
1954203, 333, 4.682587, 4.211578
1954212, 342, 4.490845, 4.28508
1954220, 350, 4.549133, 4.260117
1954228, 358, 4.545593, 4.285065
1954237, 367, 4.56424, 4.208344
1954245, 375, 4.501572, 4.238876
1954253, 383, 4.518585, 4.302612
1954262, 392, 4.64505, 4.313705
1954270, 400, 4.565323, 4.208023
1954278, 408, 4.516586, 4.248749
1954287, 417, 4.603149, 4.21524
1954295, 425, 4.598877, 4.278397
1954303, 433, 4.459106, 4.18721
1954312, 442, 4.484299, 4.198608
1954320, 450, 4.519485, 4.114136
1954328, 458, 4.436401, 4.170822
1954337, 467, 4.439499, 4.189819
1954345, 475, 4.506607, 4.167053
1954353, 483, 4.448746, 4.134995
1954362, 492, 4.394318, 4.060028
1954370, 500, 4.454651, 4.043579
1954378, 508, 4.495956, 4.010895
1954387, 517, 4.321655, 3.940506
1954395, 525, 4.35083, 3.894165
1954403, 533, 4.28511, 3.973114
1954412, 542, 4.336411, 3.928131
1954420, 550, 4.270401, 3.865494
1954428, 558, 4.269012, 3.863876
1954437, 567, 4.294495, 3.876846
1954445, 575, 4.214066, 3.811829
1954453, 583, 4.244797, 3.802704
1954462, 592, 4.236221, 3.78389
1954470, 600, 4.18158, 3.758057
1954478, 608, 4.084167, 3.670456
1954487, 617, 4.082596, 3.768951
1954495, 625, 4.042068, 3.661255
1954503, 633, 4.058868, 3.635834
1954512, 642, 4.011795, 3.600769
1954520, 650, 4.004715, 3.629013
1954528, 658, 3.971451, 3.614655
1954537, 667, 4.032211, 3.665695
1954545, 675, 4.010239, 3.569016
1954553, 683, 3.95047, 3.623215
1954562, 692, 3.947754, 3.58696
1954570, 700, 3.868027, 3.53302
1954578, 708, 3.864609, 3.514877
1954587, 717, 3.87883, 3.514099
1954595, 725, 3.810501, 3.499115
1954603, 733, 3.811615, 3.3965
1954611, 741, 3.836044, 3.455978
1954620, 750, 3.83606, 3.534698
1954628, 758, 3.829391, 3.477936
1954636, 766, 3.877823, 3.452896
1954645, 775, 3.749039, 3.468124
1954653, 783, 3.71344, 3.489609
1954661, 791, 3.766541, 3.414703
1954670, 800, 3.72171, 3.409958
1954678, 808, 3.769897, 3.396454
1954686, 816, 3.766785, 3.361237
1954695, 825, 3.773163, 3.395493
1954703, 833, 3.737793, 3.399017
1954711, 841, 3.712601, 3.369415
1954720, 850, 3.81778, 3.385529
1954728, 858, 3.760315, 3.279907
1954736, 866, 3.732559, 3.331528
1954745, 875, 3.725616, 3.307953
1954753, 883, 3.732635, 3.355743
1954761, 891, 3.690796, 3.251785
1954770, 900, 3.669373, 3.269867
1954778, 908, 3.66983, 3.346848
1954786, 916, 3.680832, 3.301819
1954795, 925, 3.670761, 3.340912
1954803, 933, 3.681503, 3.31073
1954811, 941, 3.671692, 3.31424
1954820, 950, 3.682114, 3.287781
1954828, 958, 3.692703, 3.295593
1954836, 966, 3.702148, 3.204071
1954845, 975, 3.582504, 3.313629
1954853, 983, 3.693878, 3.29628
1954861, 991, 3.763977, 3.32872
1954870, 1000, 3.73407, 3.31665
1954878, 1008, 3.783875, 3.315109
1954886, 1016, 3.660538, 3.357224
1954895, 1025, 3.835007, 3.350632
1954903, 1033, 3.705658, 3.404266
1954911, 1041, 3.76236, 3.423431
1954920, 1050, 3.756485, 3.368484
1954928, 1058, 3.769302, 3.321579
1954936, 1066, 3.776932, 3.323364
1954945, 1075, 3.770187, 3.327087
1954953, 1083, 3.757996, 3.217377
1954961, 1091, 3.769394, 3.303299
1954970, 1100, 3.773544, 3.376953
1954978, 1108, 3.769623, 3.294983
1954986, 1116, 3.759171, 3.332809
1954995, 1125, 3.748337, 3.342484
1955003, 1133, 3.747131, 3.326431
1955011, 1141, 3.748291, 3.355621
1955020, 1150, 3.75943, 3.358688
1955028, 1158, 3.769547, 3.414825
1955036, 1166, 3.773041, 3.329376
1955045, 1175, 3.781754, 3.35289
1955053, 1183, 3.782059, 3.294922
1955061, 1191, 3.776382, 3.3479
1955070, 1200, 3.783829, 3.348663
1955078, 1208, 3.786255, 3.319702
1955086, 1216, 3.797791, 3.347931
1955095, 1225, 3.80188, 3.318436
1955103, 1233, 3.805573, 3.346222
1955111, 1241, 3.816635, 3.316544
1955120, 1250, 3.821167, 3.276016
1955128, 1258, 3.761429, 3.403519
1955136, 1266, 3.758774, 3.370209
1955145, 1275, 3.792877, 3.335541
1955153, 1283, 3.682465, 3.393173
1955161, 1291, 3.805817, 3.411255
1955170, 1300, 3.775757, 3.41037
1955178, 1308, 3.744324, 3.423203
1955186, 1316, 3.657013, 3.447281
1955195, 1325, 3.665375, 3.2966
1955203, 1333, 3.628662, 3.27948
1955211, 1341, 3.644913, 3.223923
1955220, 1350, 3.7164, 3.316681
1955228, 1358, 3.730072, 3.239014
1955236, 1366, 3.702011, 3.176285
1955245, 1375, 3.606293, 3.293304
1955253, 1383, 3.667221, 3.240952
1955261, 1391, 3.678589, 3.197479
1955270, 1400, 3.717438, 3.209839
1955278, 1408, 3.710495, 3.222305
1955286, 1416, 3.711273, 3.225143
1955295, 1425, 3.726242, 3.228241
1955303, 1433, 3.712906, 3.226074
1955311, 1441, 3.662827, 3.223801
1955320, 1450, 3.712494, 3.225189
1955328, 1458, 3.661545, 3.237793
1955336, 1466, 3.645584, 3.240814
1955345, 1475, 3.628235, 3.238937
1955353, 1483, 3.703995, 3.224747
1955361, 1491, 3.667236, 3.225357
1955370, 1500, 3.596909, 3.179108
1955378, 1508, 3.533966, 3.182571
1955386, 1516, 3.590851, 3.198639
1955395, 1525, 3.550568, 3.215057
1955403, 1533, 3.542114, 3.217896
1955411, 1541, 3.550308, 3.219162
1955420, 1550, 3.543365, 3.220505
1955428, 1558, 3.566757, 3.21991
1955436, 1566, 3.608032, 3.22113
1955445, 1575, 3.56691, 3.203476
1955453, 1583, 3.528732, 3.195663
1955461, 1591, 3.568634, 3.183792
1955470, 1600, 3.529282, 3.195679
1955478, 1608, 3.5401, 3.161652
1955486, 1616, 3.551468, 3.130234
1955495, 1625, 3.540024, 3.145386
1955503, 1633, 3.528992, 3.129395
1955511, 1641, 3.527832, 3.119675
1955520, 1650, 3.52681, 3.110474
1955528, 1658, 3.518692, 3.107559
1955536, 1666, 3.505295, 3.104599
1955545, 1675, 3.369919, 3.074448
1955553, 1683, 3.436523, 3.007248
1955561, 1691, 3.408844, 3.101868
1955570, 1700, 3.437958, 3.003906
1955578, 1708, 3.340393, 3.036926
1955586, 1716, 3.354401, 3.006027
1955595, 1725, 3.359528, 3.005005
1955603, 1733, 3.412247, 3.005951
1955611, 1741, 3.392685, 3.006058
1955620, 1750, 3.41217, 2.972687
1955628, 1758, 3.389603, 2.828308
1955636, 1766, 3.249252, 2.891403
1955645, 1775, 3.279831, 2.870911
1955653, 1783, 3.316422, 2.850586
1955661, 1791, 3.261108, 2.871964
1955670, 1800, 3.329407, 2.893372
1955678, 1808, 3.332916, 2.912338
1955686, 1816, 3.332626, 2.915436
1955695, 1825, 3.332458, 2.883713
1955703, 1833, 3.328461, 2.89769
1955711, 1841, 3.327744, 2.874435
1955720, 1850, 3.328293, 2.897156
1955728, 1858, 3.32959, 2.874207
1955736, 1866, 3.32991, 2.851212
1955745, 1875, 3.279663, 3.008469
1955753, 1883, 3.264145, 3.03479
1955761, 1891, 3.311722, 2.896393
1955770, 1900, 3.246826, 2.836884
1955778, 1908, 3.160431, 2.897598
1955786, 1916, 3.294067, 2.940567
1955795, 1925, 3.222687, 2.840622
1955803, 1933, 3.252548, 2.84877
1955811, 1941, 3.277115, 2.814468
1955820, 1950, 3.164032, 2.850769
1955828, 1958, 3.202499, 2.790268
1955836, 1966, 3.256134, 2.848801
1955845, 1975, 3.26741, 2.843704
1955853, 1983, 3.26091, 2.845337
1955861, 1991, 3.168137, 2.837708
1955870, 2000, 3.121994, 2.842606
1955878, 2008, 3.08522, 2.845474
1955886, 2016, 3.115005, 2.842422
1955895, 2025, 3.14418, 2.813293
1955903, 2033, 3.17926, 2.837265
1955911, 2041, 3.138443, 2.829498
1955920, 2050, 3.164017, 2.836609
1955928, 2058, 3.145721, 2.838242
1955936, 2066, 3.168167, 2.840134
1955945, 2075, 3.146118, 2.837723
1955953, 2083, 3.165192, 2.801086
1955961, 2091, 3.111664, 2.71463
1955970, 2100, 3.105057, 2.78363
1955978, 2108, 3.130325, 2.75293
1955986, 2116, 3.142105, 2.722198
1955995, 2125, 3.148163, 2.753036
1956003, 2133, 3.154037, 2.73587
1956011, 2141, 3.147659, 2.736923
1956020, 2150, 3.19397, 2.738342
1956028, 2158, 3.000519, 2.736664
1956036, 2166, 3.019318, 2.735046
1956045, 2175, 3.129669, 2.736099
1956053, 2183, 3.163376, 2.736969
1956061, 2191, 3.128189, 2.735275
1956070, 2200, 3.091995, 2.73349
1956078, 2208, 3.056946, 2.723587
1956086, 2216, 3.091629, 2.714233
1956095, 2225, 3.06691, 2.709778
1956103, 2233, 3.088989, 2.713593
1956111, 2241, 3.065918, 2.687683
1956120, 2250, 3.042557, 2.735428
1956128, 2258, 3.05513, 2.665237
1956136, 2266, 3.042755, 2.726654
1956145, 2275, 3.041031, 2.743378
1956153, 2283, 3.039398, 2.749542
1956161, 2291, 3.031021, 2.748718
1956169, 2299, 3.035065, 2.680557
1956178, 2308, 3.02269, 2.720337
1956186, 2316, 3.019913, 2.669128
1956194, 2324, 3.01944, 2.724625
1956203, 2333, 2.977936, 2.706589
1956211, 2341, 2.977982, 2.681595
1956219, 2349, 2.977524, 2.707184
1956228, 2358, 2.97493, 2.681992
1956236, 2366, 2.968292, 2.701233
1956244, 2374, 2.969162, 2.679565
1956253, 2383, 2.967621, 2.657883
1956261, 2391, 2.966507, 2.679764
1956269, 2399, 2.90509, 2.657913
1956278, 2408, 2.875732, 2.654388
1956286, 2416, 2.905212, 2.650696
1956294, 2424, 2.962402, 2.645035
1956303, 2433, 2.99144, 2.650787
1956311, 2441, 3.006393, 2.645203
1956319, 2449, 2.99202, 2.646912
1956328, 2458, 3.004669, 2.647064
1956336, 2466, 3.016998, 2.639526
1956344, 2474, 3.003281, 2.639984
1956353, 2483, 2.989319, 2.639954
1956361, 2491, 3.003265, 2.639771
1956369, 2499, 2.93689, 2.639923
1956378, 2508, 3.059937, 2.63974
1956386, 2516, 2.978348, 2.636475
1956394, 2524, 2.991455, 2.636444
1956403, 2533, 2.977585, 2.624466
1956411, 2541, 2.981842, 2.624573
1956419, 2549, 2.976578, 2.625183
1956428, 2558, 2.973557, 2.624619
1956436, 2566, 2.97641, 2.624847
1956444, 2574, 2.982422, 2.62442
1956453, 2583, 3.000275, 2.620773
1956461, 2591, 2.96019, 2.622116
1956469, 2599, 2.992859, 2.622208
1956478, 2608, 3.00293, 2.624252
1956486, 2616, 2.970779, 2.717911
1956494, 2624, 3.003174, 2.672791
1956503, 2633, 2.970901, 2.698212
1956511, 2641, 2.955765, 2.671585
1956519, 2649, 2.952438, 2.662949
1956528, 2658, 2.949112, 2.654022
1956536, 2666, 2.945343, 2.662796
1956544, 2674, 2.941788, 2.653992
1956553, 2683, 2.940308, 2.652252
1956561, 2691, 2.939011, 2.653992
1956569, 2699, 2.938446, 2.652084
1956578, 2708, 2.938004, 2.645798
1956586, 2716, 2.917618, 2.660416
1956594, 2724, 2.915054, 2.594162
1956603, 2733, 2.909271, 2.605118
